date,price_new,price_2nd
2021-8-9,299.99,326.63
2021-8-10,299.99,329.63
2021-8-12,299.99,326.63
2021-8-13,299.0,320.64
2021-8-14,299.0,323.63
2021-8-15,299.0,326.63
2021-8-17,299.0,326.63
2021-8-18,298.99,326.63
2021-8-19,299.0,326.63
2021-8-20,299.0,326.63
2021-8-21,299.99,326.63
2021-8-23,299.99,329.63
2021-8-24,299.99,329.63
2021-8-25,299.99,354.0
2021-8-26,299.99,354.0
2021-8-28,299.99,354.0
2021-8-29,299.99,354.0
2021-8-30,299.99,354.0
2021-8-31,409.99,329.63
2021-9-1,417.47,329.63
2021-9-3,375.58,
2021-9-4,439.99,
2021-9-5,439.99,
2021-9-6,439.99,435.63
2021-9-7,299.99,435.63
2021-9-9,439.99,431.63
2021-9-10,439.99,427.64
2021-9-11,439.99,423.64
2021-9-12,439.99,427.64
2021-9-14,299.99,385.0
2021-9-15,400.0,427.64
2021-9-16,400.0,423.64
2021-9-17,299.99,423.64
2021-9-18,299.99,423.64
2021-9-20,299.99,419.64
2021-9-21,299.99,419.64
2021-9-22,299.99,389.0
2021-9-23,299.99,363.65
2021-9-25,299.99,367.14
2021-9-26,299.99,367.14
2021-9-27,339.0,367.14
2021-9-28,389.99,370.64
2021-9-29,389.0,377.63
2021-10-1,389.0,381.13
2021-10-2,389.99,339.0
2021-10-3,389.99,349.0
2021-10-4,389.99,379.66
2021-10-6,389.99,558.86
2021-10-7,389.99,558.86
2021-10-8,381.31,379.66
2021-10-9,381.31,558.86
2021-10-10,395.0,385.0
2021-10-12,399.0,365.0
2021-10-13,383.0,384.63
2021-10-14,383.0,384.63
2021-10-15,299.99,377.63
2021-10-17,299.99,319.0
2021-10-18,299.99,319.0
2021-10-19,371.49,330.0
2021-10-20,299.99,330.0
2021-10-21,369.98,330.0
2021-10-23,369.98,330.0
2021-10-24,369.9,364.99
2021-10-25,369.98,364.99
2021-10-26,369.98,364.99
2021-10-28,369.9,364.99
2021-10-29,368.9,364.99
2021-10-30,365.0,364.99
2021-10-31,365.0,364.99
2021-11-1,365.0,364.99
2021-11-3,365.0,364.99
2021-11-4,365.0,330.0
2021-11-5,365.0,364.99
2021-11-6,365.0,364.99
2021-11-8,365.0,364.99
2021-11-9,309.99,364.99
2021-11-10,319.67,364.99
2021-11-11,324.99,319.0
2021-11-12,322.67,319.0
2021-11-14,364.0,319.0
2021-11-15,363.0,319.0
2021-11-16,315.0,330.0
2021-11-17,328.32,330.0
2021-11-19,358.99,364.99
2021-11-20,348.99,364.99
2021-11-21,339.67,364.99
2021-11-22,339.67,364.99
2021-11-23,324.99,364.99
2021-11-25,324.99,364.99
2021-11-26,348.99,364.99
2021-11-27,339.67,364.99
2021-11-28,339.67,364.99
2021-11-30,348.99,364.99
2021-12-1,339.67,364.99
2021-12-2,321.99,329.99
2021-12-3,324.99,329.99
2021-12-4,324.99,329.99
2021-12-6,324.99,329.99
2021-12-7,324.99,329.99
2021-12-8,324.99,329.99
2021-12-9,324.99,329.99
2021-12-11,324.99,329.99
