date,price_new,price_2nd
2021-11-27,949.99,
2021-11-28,949.99,
2021-11-29,949.99,
2021-11-29,1229.99,
2021-11-30,1229.99,
2021-12-1,949.99,
2021-12-2,949.99,
2021-12-2,949.99,
2021-12-3,949.99,879.63
2021-12-4,949.99,879.63
2021-12-4,939.98,879.63
2021-12-5,949.99,879.63
2021-12-6,949.99,
2021-12-6,949.99,
2021-12-7,989.99,
2021-12-8,979.98,
2021-12-8,979.2,
2021-12-9,939.99,
2021-12-10,959.99,
2021-12-10,959.22,
2021-12-11,979.2,
2021-12-12,979.98,
2021-12-13,979.2,
2021-12-13,989.2,
2021-12-14,989.99,
2021-12-15,989.99,
2021-12-15,989.99,
2021-12-16,978.22,
2021-12-17,984.56,
2021-12-17,979.22,
2021-12-18,957.56,
2021-12-19,959.0,
2021-12-19,949.99,
2021-12-20,929.99,
2021-12-21,928.91,
2021-12-21,929.0,
2021-12-22,929.0,
2021-12-23,909.99,
2021-12-24,909.0,
2021-12-24,899.99,
2021-12-25,899.99,
2021-12-26,899.99,
2021-12-26,899.99,
2021-12-27,899.99,
2021-12-28,899.99,
2021-12-28,889.99,
2021-12-29,889.99,823.0
2021-12-30,889.99,823.0
2021-12-30,889.99,823.0
2021-12-31,889.98,823.0
2022-1-1,878.0,
2022-1-1,873.2,
2022-1-2,867.21,
2022-1-3,867.21,962.64
2022-1-4,867.21,962.64
2022-1-4,873.2,962.64
2022-1-5,889.97,962.64
2022-1-6,899.99,962.64
2022-1-6,899.99,962.64
2022-1-7,899.99,962.64
2022-1-8,889.99,962.64
2022-1-8,882.99,962.64
2022-1-9,879.99,962.64
2022-1-10,879.99,943.39
2022-1-10,879.99,943.39
2022-1-11,879.99,943.39
2022-1-12,879.99,943.39
2022-1-12,879.99,943.39
2022-1-13,879.99,769.99
2022-1-14,879.99,769.99
2022-1-15,878.0,943.39
2022-1-15,879.99,933.76
2022-1-16,879.99,890.96
2022-1-17,870.73,890.96
2022-1-17,867.92,890.96
2022-1-18,869.53,890.96
2022-1-19,869.97,890.96
2022-1-19,847.31,840.0
2022-1-20,847.31,840.0
2022-1-21,869.95,840.0
2022-1-21,864.46,840.0
2022-1-22,858.47,840.0
2022-1-23,858.47,769.99
2022-1-23,839.05,769.99
2022-1-24,835.5,749.99
2022-1-25,835.5,749.99
2022-1-26,823.5,734.99
2022-1-26,804.99,734.99
2022-1-27,804.99,724.99
2022-1-28,785.34,724.99
2022-1-28,791.48,724.99
2022-1-29,791.48,724.99
2022-1-30,791.48,724.99
2022-1-30,791.48,724.99
2022-1-31,790.99,724.99
2022-2-1,790.99,724.99
2022-2-1,790.99,724.99
2022-2-2,789.49,739.99
2022-2-3,791.48,739.99
2022-2-3,790.99,739.99
2022-2-4,790.99,739.99
2022-2-5,790.99,739.99
2022-2-6,789.9,739.99
2022-2-6,789.9,853.24
2022-2-7,789.9,853.24
2022-2-8,783.91,853.24
2022-2-8,779.67,865.38
2022-2-9,779.94,882.63
2022-2-10,774.51,873.62
2022-2-10,774.49,873.62
2022-2-11,772.0,873.62
2022-2-12,769.99,873.62
2022-2-12,769.0,739.99
2022-2-13,769.0,739.99
2022-2-14,769.0,739.99
2022-2-14,699.95,739.99
2022-2-15,747.88,739.99
2022-2-16,743.39,739.99
2022-2-17,719.35,739.99
2022-2-17,735.51,739.99
2022-2-18,733.97,619.99
2022-2-19,729.99,709.99
2022-2-19,735.47,709.99
2022-2-20,735.47,709.99
2022-2-21,735.47,709.99
2022-2-21,735.47,709.99
2022-2-22,729.0,709.99
2022-2-23,724.51,689.99
2022-2-23,724.51,689.99
2022-2-24,719.99,709.99
2022-2-25,715.5,739.99
2022-2-25,715.5,739.99
2022-2-26,707.0,689.99
2022-2-27,714.9,689.99
2022-2-28,701.64,689.99
2022-2-28,729.0,689.99
2022-3-1,729.0,849.32
2022-3-2,729.0,849.32
2022-3-2,724.1,849.32
2022-3-3,724.1,849.32
2022-3-4,724.1,849.32
2022-3-4,723.51,699.38
2022-3-5,723.51,699.38
2022-3-6,723.51,699.38
2022-3-6,722.01,699.38
2022-3-7,722.01,699.38
2022-3-8,720.01,699.38
2022-3-8,705.18,699.38
2022-3-9,709.67,699.38
2022-3-10,718.0,679.99
2022-3-11,718.0,679.99
2022-3-11,718.0,679.99
2022-3-12,718.0,679.99
2022-3-13,695.34,679.99
2022-3-13,695.34,679.99
2022-3-14,695.34,673.99
2022-3-15,750.0,673.99
2022-3-15,750.0,673.99
2022-3-16,749.0,673.99
2022-3-17,749.0,712.37
2022-3-17,739.67,712.37
2022-3-18,728.95,712.37
